iter	Passed	Remaining
0	156	156252
1	158	79083
2	160	53391
3	163	40612
4	165	32998
5	168	27913
6	170	24219
7	173	21485
8	176	19385
9	178	17680
10	181	16290
11	184	15175
12	187	14211
13	189	13355
14	191	12576
15	193	11923
16	196	11372
17	199	10887
18	202	10443
19	205	10053
20	207	9691
21	210	9373
22	214	9111
23	217	8843
24	220	8580
25	223	8354
26	225	8133
27	228	7949
28	232	7785
29	234	7572
30	237	7410
31	239	7250
32	242	7111
33	245	6970
34	247	6824
35	249	6687
36	252	6560
37	253	6425
38	255	6301
39	257	6181
40	259	6063
41	260	5948
42	262	5836
43	263	5733
44	265	5629
45	266	5531
46	268	5435
47	269	5346
48	270	5254
49	271	5167
50	273	5083
51	274	5001
52	275	4925
53	276	4850
54	277	4776
55	279	4705
56	280	4639
57	281	4573
58	282	4509
59	283	4447
60	285	4387
61	286	4330
62	287	4273
63	288	4221
64	289	4168
65	290	4117
66	292	4067
67	293	4021
68	294	3974
69	295	3928
70	296	3883
71	297	3840
72	299	3797
73	300	3756
74	301	3715
75	302	3676
76	303	3638
77	304	3601
78	305	3565
79	306	3529
80	308	3495
81	309	3461
82	310	3426
83	311	3392
84	312	3359
85	313	3328
86	314	3297
87	315	3266
88	316	3238
89	317	3209
90	318	3180
91	319	3152
92	320	3126
93	321	3100
94	322	3075
95	323	3049
96	325	3025
97	326	3002
98	327	2978
99	328	2955
100	329	2931
101	330	2907
102	331	2885
103	332	2863
104	333	2840
105	334	2821
106	335	2802
107	336	2783
108	338	2763
109	339	2743
110	340	2725
111	341	2705
112	342	2686
113	343	2669
114	344	2651
115	345	2633
116	346	2615
117	347	2598
118	348	2581
119	349	2564
120	350	2548
121	351	2532
122	352	2516
123	354	2502
124	355	2487
125	356	2473
126	357	2459
127	358	2445
128	360	2431
129	361	2417
130	362	2403
131	363	2389
132	364	2376
133	365	2362
134	366	2348
135	367	2335
136	368	2323
137	370	2312
138	371	2299
139	372	2287
140	373	2275
141	374	2263
142	375	2251
143	376	2238
144	377	2226
145	378	2214
146	379	2201
147	380	2190
148	381	2179
149	382	2170
